ID,date,cluster_id,electricity_consumption,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
cluster_2_2014-01-09,2014-01-09,cluster_2,595.645,14.9,6.4,12.1,2.4,9173.33,31256.916666666668,33.2,65.9,197.75033304584144,3.2533333333333334,0.8799999999999999
cluster_3_2014-01-09,2014-01-09,cluster_3,844.132,14.6,5.9,13.9,3.3,20476.81333333333,32105.52666666667,19.6,57.6,166.94998652364907,4.8500000000000005,0.9133333333333334
cluster_4_2014-01-09,2014-01-09,cluster_4,1219.023,12.7,6.0,9.4,2.9,10018.226666666667,31367.97,26.4,58.0,203.759508883394,3.1833333333333336,0.7966666666666665
cluster_1_2014-01-10,2014-01-10,cluster_1,431.567,7.9,3.8,4.6,0.8,7013.95,30546.28,18.3,32.4,209.6558701729083,2.686666666666666,0.3533333333333333
cluster_2_2014-01-10,2014-01-10,cluster_2,620.063,14.4,3.9,11.2,0.4,17662.63,31356.033333333336,18.7,34.9,183.0707398931613,4.263333333333333,0.6433333333333334
cluster_3_2014-01-10,2014-01-10,cluster_3,850.071,13.6,3.8,12.6,1.2,18136.52333333333,32196.78,14.9,38.9,132.60652667866677,4.343333333333334,0.5566666666666666
cluster_4_2014-01-10,2014-01-10,cluster_4,1249.201,11.6,3.2,10.7,0.4,17600.816666666666,31465.846666666665,13.1,24.5,210.3012835059131,3.7266666666666666,0.4833333333333334
cluster_1_2014-01-11,2014-01-11,cluster_1,382.602,9.6,0.9,6.7,-2.1,22416.76333333333,30657.84,16.0,33.5,250.37971211087049,4.096666666666667,0.47
cluster_2_2014-01-11,2014-01-11,cluster_2,554.199,12.0,1.2,10.7,-1.8,20926.296666666665,31459.873333333333,19.2,37.4,127.86206782019195,3.963333333333333,0.5266666666666667
cluster_3_2014-01-11,2014-01-11,cluster_3,788.297,13.8,2.7,12.6,0.0,15091.33,32292.41333333333,13.2,25.9,160.8322917613557,3.633333333333333,0.5566666666666666
cluster_4_2014-01-11,2014-01-11,cluster_4,1153.637,12.0,3.2,10.4,0.0,20036.90333333333,31568.396666666667,14.9,28.4,234.5012129808676,4.326666666666667,0.5433333333333333
cluster_1_2014-01-12,2014-01-12,cluster_1,365.53,9.9,-0.1,6.1,-3.6,391.5799999999999,30774.22,26.5,46.4,142.99322989193024,2.17,0.3366666666666666
cluster_2_2014-01-12,2014-01-12,cluster_2,538.948,15.2,-1.2,12.5,-4.6,19727.006666666668,31568.226666666666,20.9,38.2,138.53097678009715,4.773333333333333,0.66
cluster_3_2014-01-12,2014-01-12,cluster_3,763.775,15.3,1.1,13.6,-1.9,27136.42,32392.226666666666,13.6,26.6,82.86481343144438,6.133333333333333,0.7999999999999999
cluster_4_2014-01-12,2014-01-12,cluster_4,1163.852,8.8,0.7,6.6,-2.3,8140.88,31675.416666666668,17.4,38.5,132.4939263916864,2.8833333333333333,0.3766666666666666
cluster_1_2014-01-13,2014-01-13,cluster_1,430.41,10.1,5.0,6.7,1.3,25038.8,30895.20333333333,26.5,48.2,203.0,4.603333333333333,0.62
cluster_2_2014-01-13,2014-01-13,cluster_2,609.721,9.8,5.0,8.1,1.4,15496.3,31680.876666666667,23.7,43.2,221.76079342704188,3.07,0.4533333333333333
cluster_3_2014-01-13,2014-01-13,cluster_3,855.534,12.5,0.2,11.0,-3.3,10660.306666666664,32496.04,16.4,30.2,188.11872889083293,3.1300000000000003,0.4966666666666666
cluster_4_2014-01-13,2014-01-13,cluster_4,1285.531,9.9,3.8,7.9,0.9,12554.44,31786.69333333333,19.9,36.4,196.5742927398008,2.823333333333333,0.39
cluster_1_2014-01-14,2014-01-14,cluster_1,454.45,7.5,2.6,4.1,-0.9,17200.016666666666,31020.55,18.7,37.4,240.4423486376469,3.5500000000000003,0.4866666666666666
cluster_2_2014-01-14,2014-01-14,cluster_2,648.781,8.6,1.7,6.0,-1.4,6241.8,31797.623333333333,25.1,42.5,231.46902321990288,2.4433333333333334,0.4433333333333333
cluster_3_2014-01-14,2014-01-14,cluster_3,890.146,10.8,2.9,8.2,0.0,17818.149999999998,32603.65333333333,18.1,39.6,254.70253383056863,5.010000000000001,0.6566666666666667
cluster_4_2014-01-14,2014-01-14,cluster_4,1327.803,7.7,1.3,5.6,-2.1,21878.8,31902.02666666667,21.7,40.0,245.3317959140489,4.003333333333333,0.5266666666666666
cluster_1_2014-01-15,2014-01-15,cluster_1,459.737,10.9,1.3,7.5,-2.3,0.0,31150.04,25.0,45.7,194.66473805077692,0.87,0.3466666666666667
cluster_2_2014-01-15,2014-01-15,cluster_2,650.786,9.8,2.3,8.3,-1.5,0.0,31918.25333333333,22.9,43.2,182.06905147539928,1.07,0.3033333333333334
cluster_3_2014-01-15,2014-01-15,cluster_3,930.275,12.3,1.5,10.9,-2.0,14922.73,32714.88666666667,25.4,47.5,215.9818920423237,4.483333333333333,0.7266666666666666
cluster_4_2014-01-15,2014-01-15,cluster_4,1371.295,8.6,-1.5,5.0,-4.7,7247.59,32021.210000000003,24.4,45.0,187.72295225010643,2.466666666666667,0.4166666666666667
cluster_1_2014-01-16,2014-01-16,cluster_1,447.233,10.4,6.0,6.3,2.2,15419.703333333331,31283.45333333333,29.8,58.0,191.332753728081,3.1766666666666663,0.6699999999999999
cluster_2_2014-01-16,2014-01-16,cluster_2,632.863,11.6,6.9,10.6,2.3,15419.056666666664,32042.56,27.6,55.1,174.47966150964572,3.516666666666667,0.5933333333333333
cluster_3_2014-01-16,2014-01-16,cluster_3,915.173,13.3,5.0,10.3,1.8,11185.506666666668,32829.55,27.6,54.4,179.12189577450306,4.006666666666667,0.7233333333333333
cluster_4_2014-01-16,2014-01-16,cluster_4,1313.58,10.1,3.9,7.3,-0.3,5787.63,32144.04333333333,24.9,54.4,189.3379811536068,2.42,0.7200000000000001
cluster_1_2014-01-17,2014-01-17,cluster_1,439.022,9.8,5.7,5.8,1.8,8478.756666666666,31420.57,31.7,56.5,193.3329905781327,2.29,0.7833333333333333
cluster_2_2014-01-17,2014-01-17,cluster_2,632.613,13.6,2.4,10.1,-0.8,22511.09,32170.349999999995,26.6,55.1,173.12662452776777,5.739999999999999,1.086666666666667
cluster_3_2014-01-17,2014-01-17,cluster_3,882.095,13.8,2.2,11.7,-0.7,23840.09333333333,32947.46666666667,19.5,42.1,175.33346500159422,6.096666666666667,0.9566666666666668
cluster_4_2014-01-17,2014-01-17,cluster_4,1282.559,10.6,1.9,8.5,-1.8,25591.55,32270.33,23.9,48.6,169.22975087736603,5.736666666666667,0.8700000000000001
cluster_1_2014-01-18,2014-01-18,cluster_1,393.762,10.7,3.6,7.3,-0.2,24490.75,31561.173333333336,22.5,40.0,151.66024690574218,4.93,0.9
cluster_2_2014-01-18,2014-01-18,cluster_2,581.496,11.1,3.2,7.5,-1.0,20655.09333333333,32301.416666666668,22.9,36.0,148.66996617033217,4.976666666666667,0.7733333333333334
cluster_3_2014-01-18,2014-01-18,cluster_3,825.347,11.4,1.0,8.5,-2.2,9013.673333333334,33068.44666666666,26.2,48.2,149.9875877789444,3.676666666666667,0.55
cluster_4_2014-01-18,2014-01-18,cluster_4,1172.01,12.2,2.1,9.4,-1.5,23374.303333333333,32399.873333333333,18.3,38.5,149.3334650015942,5.263333333333335,0.8866666666666667
cluster_1_2014-01-19,2014-01-19,cluster_1,371.419,9.0,2.7,7.5,0.1,16185.08,31705.053333333333,20.4,37.8,203.2143154176944,3.59,0.5599999999999999
cluster_2_2014-01-19,2014-01-19,cluster_2,560.946,8.7,3.4,6.0,0.8,5744.183333333334,32435.56666666667,18.4,32.8,238.44354202785,2.8833333333333333,0.5
cluster_3_2014-01-19,2014-01-19,cluster_3,788.044,11.9,0.6,9.2,-1.7,11779.306666666664,33192.31666666667,28.3,49.7,207.28093876776032,4.216666666666668,0.5433333333333333
cluster_4_2014-01-19,2014-01-19,cluster_4,1109.043,8.6,4.2,7.1,1.0,6833.533333333333,32532.476666666666,13.9,44.3,155.82606244138495,2.373333333333333,0.3866666666666667
cluster_1_2014-01-20,2014-01-20,cluster_1,453.806,7.7,-0.6,5.1,-3.8,10987.19,31852.006666666668,20.1,33.8,280.24761022464327,3.37,0.41
cluster_2_2014-01-20,2014-01-20,cluster_2,667.017,7.9,2.1,4.2,-0.9,11625.153333333334,32572.61666666667,23.5,46.8,297.091908461974,3.3166666666666664,0.48
cluster_3_2014-01-20,2014-01-20,cluster_3,899.905,10.3,0.5,9.5,-2.1,16568.486666666668,33318.9,28.5,55.1,298.1670031301051,4.543333333333333,0.6999999999999998
cluster_4_2014-01-20,2014-01-20,cluster_4,1294.663,7.8,3.5,5.1,0.3,6896.403333333333,32667.960000000003,17.6,34.9,315.33387178440324,2.28,0.3733333333333333
cluster_1_2014-01-21,2014-01-21,cluster_1,472.587,7.0,1.4,2.6,-2.1,16830.61,32001.816666666666,22.3,38.5,208.12605351317265,3.883333333333333,0.49
cluster_2_2014-01-21,2014-01-21,cluster_2,686.548,8.3,2.3,5.0,-1.6,13408.94,32712.36,16.6,31.7,241.12417645633485,3.9,0.5466666666666667
cluster_3_2014-01-21,2014-01-21,cluster_3,938.044,10.5,1.0,7.6,-2.2,19761.483333333334,33448.03333333333,33.9,67.0,261.66028212362903,5.586666666666667,0.97
cluster_4_2014-01-21,2014-01-21,cluster_4,1371.562,5.7,0.2,2.7,-3.1,3964.373333333333,32806.12333333333,21.8,43.2,296.25634666610097,2.983333333333333,0.4433333333333333
cluster_1_2014-01-22,2014-01-22,cluster_1,465.794,9.6,0.7,7.3,-3.5,11825.35,32154.29333333333,26.0,44.6,170.24521576521045,3.186666666666666,0.48
cluster_2_2014-01-22,2014-01-22,cluster_2,692.156,8.7,-1.0,6.6,-4.6,0.0,32854.62,20.0,36.0,176.28294470084853,1.75,0.3966666666666666
cluster_3_2014-01-22,2014-01-22,cluster_3,949.148,12.0,0.7,10.0,-2.3,21449.33,33579.526666666665,17.5,32.8,316.9992162986663,5.546666666666667,0.7066666666666667
cluster_4_2014-01-22,2014-01-22,cluster_4,1397.224,6.7,-1.3,4.7,-4.2,13613.32,32946.79666666667,15.3,27.7,46.66061776880171,4.333333333333333,0.4933333333333333
cluster_1_2014-01-23,2014-01-23,cluster_1,471.658,8.5,1.5,4.6,-1.7,15080.946666666669,32309.233333333334,26.4,55.8,254.9473444610972,3.1266666666666665,0.5066666666666666
cluster_2_2014-01-23,2014-01-23,cluster_2,684.18,9.6,3.6,5.7,-1.1,18934.116666666665,32999.22,23.8,49.0,256.3054354105841,3.98,0.5833333333333334
cluster_3_2014-01-23,2014-01-23,cluster_3,948.285,11.8,0.8,8.6,-1.8,18254.20666666667,33713.22666666666,24.3,47.2,274.999568781783,5.526666666666666,0.8566666666666668
cluster_4_2014-01-23,2014-01-23,cluster_4,1355.092,9.1,1.1,5.2,-1.4,16814.186666666665,33089.79666666667,21.1,49.3,248.0345057638509,3.826666666666666,0.5233333333333333
cluster_1_2014-01-24,2014-01-24,cluster_1,454.275,7.4,-0.8,4.3,-4.0,9381.33,32466.45333333333,19.3,41.8,208.1639044536268,2.9166666666666665,0.42
cluster_2_2014-01-24,2014-01-24,cluster_2,664.028,10.3,0.4,6.6,-3.1,9120.596666666666,33145.973333333335,28.1,54.0,244.0364795708444,2.3766666666666665,0.3733333333333333
cluster_3_2014-01-24,2014-01-24,cluster_3,930.727,11.8,0.9,9.4,-2.2,16149.46,33848.96333333333,27.2,51.1,289.5629348467376,4.15,0.7600000000000001
cluster_4_2014-01-24,2014-01-24,cluster_4,1350.428,6.7,-0.9,4.2,-4.4,11233.143333333332,33234.94,17.4,37.8,291.2410104735159,3.5933333333333333,0.4499999999999999
cluster_1_2014-01-25,2014-01-25,cluster_1,400.492,11.7,-0.4,8.3,-4.1,11112.453333333331,32625.97666666667,34.0,72.0,222.92012128005723,3.0499999999999994,0.5933333333333334
cluster_2_2014-01-25,2014-01-25,cluster_2,573.092,11.1,1.2,7.7,-3.1,0.0,33294.91333333333,36.5,81.4,220.98884217504624,1.41,0.3666666666666666
cluster_3_2014-01-25,2014-01-25,cluster_3,859.76,12.3,-1.3,9.7,-4.4,18574.34333333333,33986.78,34.7,64.8,283.4936490919458,5.223333333333333,1.0333333333333334
cluster_4_2014-01-25,2014-01-25,cluster_4,1260.206,8.8,-3.5,4.4,-6.9,14524.383333333331,33382.26333333333,26.0,48.2,282.935047728193,4.36,0.5766666666666667
cluster_1_2014-01-26,2014-01-26,cluster_1,379.535,10.2,1.5,5.8,-2.4,42.41333333333333,32789.46,32.0,69.8,239.6683322396841,1.5766666666666669,0.6166666666666667
cluster_2_2014-01-26,2014-01-26,cluster_2,543.833,12.4,1.9,9.1,-2.0,639.6866666666666,33447.59333333333,30.3,71.6,250.13728301035565,2.1300000000000003,0.5866666666666667
cluster_3_2014-01-26,2014-01-26,cluster_3,796.004,12.4,2.3,10.1,-2.3,15214.679999999998,34128.09,29.1,61.9,269.3118331957389,5.033333333333333,1.143333333333333
cluster_4_2014-01-26,2014-01-26,cluster_4,1188.387,9.8,2.4,5.2,-0.4,563.9133333333333,33533.3,29.2,65.5,213.9521622419486,2.523333333333333,0.4966666666666666
cluster_1_2014-01-27,2014-01-27,cluster_1,454.129,7.3,2.4,2.6,-2.7,14125.243333333332,32957.06666666667,30.8,54.7,240.0006098385439,3.93,0.85
cluster_2_2014-01-27,2014-01-27,cluster_2,655.594,11.3,1.6,7.5,-3.5,22513.06,33604.15,30.5,61.6,246.3829872745497,5.316666666666666,0.8566666666666666
cluster_3_2014-01-27,2014-01-27,cluster_3,895.553,11.6,1.4,9.0,-2.6,29711.373333333333,34273.05333333334,23.4,70.2,260.1957382797494,6.906666666666666,1.03
cluster_4_2014-01-27,2014-01-27,cluster_4,1346.913,7.7,0.5,4.8,-2.9,23939.41333333333,33688.193333333336,29.2,65.2,232.36950160345933,5.61,0.8300000000000001
cluster_1_2014-01-28,2014-01-28,cluster_1,476.409,8.0,2.0,3.5,-2.8,10120.733333333332,33128.51666666666,27.7,49.0,190.9875877789444,3.583333333333333,0.6
cluster_2_2014-01-28,2014-01-28,cluster_2,691.608,10.2,1.8,7.5,-3.7,11575.653333333334,33764.33666666667,27.0,48.2,202.85699162845663,4.476666666666667,0.7233333333333333
cluster_3_2014-01-28,2014-01-28,cluster_3,951.703,9.4,-0.7,6.2,-4.2,21295.58666666667,34421.42333333333,25.3,60.8,222.0899581818263,6.736666666666667,0.8700000000000001
cluster_4_2014-01-28,2014-01-28,cluster_4,1394.304,7.2,-1.4,2.9,-4.8,16738.210000000003,33846.693333333336,23.0,47.2,179.35719584069514,5.37,0.7266666666666666
cluster_1_2014-01-29,2014-01-29,cluster_1,472.692,7.2,2.1,5.2,-3.3,2853.7966666666666,33303.54,22.4,42.1,133.28564084078036,2.553333333333333,0.5333333333333333
cluster_2_2014-01-29,2014-01-29,cluster_2,681.955,11.0,2.4,7.4,-2.5,12693.023333333333,33927.9,19.9,48.2,159.13797115757924,4.903333333333333,0.8666666666666666
cluster_3_2014-01-29,2014-01-29,cluster_3,973.585,11.2,-2.5,9.3,-5.8,23818.61666666667,34572.96666666667,22.3,49.7,126.4421762701239,6.176666666666667,0.7599999999999999
cluster_4_2014-01-29,2014-01-29,cluster_4,1395.343,5.9,0.9,3.5,-4.0,23.593333333333334,34008.55,19.1,42.5,150.37922185567126,2.796666666666667,0.5833333333333334
cluster_1_2014-01-30,2014-01-30,cluster_1,460.327,8.2,0.9,5.3,-2.7,25311.22,33481.87333333333,11.4,23.4,164.67921948911732,5.073333333333333,0.5833333333333334
cluster_2_2014-01-30,2014-01-30,cluster_2,679.518,8.6,0.8,5.1,-2.4,24940.64333333333,34094.59333333333,20.6,42.1,189.8318872505171,5.346666666666668,0.6333333333333333
cluster_3_2014-01-30,2014-01-30,cluster_3,964.089,9.6,-1.0,6.1,-3.8,17101.046666666665,34727.46666666667,19.9,39.2,356.42576772418647,4.913333333333333,0.6699999999999999
cluster_4_2014-01-30,2014-01-30,cluster_4,1365.272,7.7,-0.4,5.7,-4.0,14861.63,34173.53,13.7,23.8,168.0200118160419,5.133333333333334,0.58
cluster_1_2014-01-31,2014-01-31,cluster_1,473.459,7.7,-0.7,1.6,-3.8,408.8066666666667,33663.26,37.5,67.0,177.67807002124104,3.103333333333333,0.5433333333333333
cluster_2_2014-01-31,2014-01-31,cluster_2,697.474,8.4,-0.8,6.5,-3.7,6412.883333333334,34264.18333333333,31.0,56.9,185.34412982709168,3.4599999999999995,0.5933333333333333
cluster_3_2014-01-31,2014-01-31,cluster_3,966.319,11.2,-0.8,8.8,-4.2,26512.186666666665,34884.70333333334,15.5,29.5,194.9848025473541,7.21,0.8433333333333334
cluster_4_2014-01-31,2014-01-31,cluster_4,1356.643,7.5,-1.5,5.2,-4.7,18255.686666666665,34341.39,28.4,52.2,199.8862039368356,5.050000000000001,0.6433333333333334
cluster_1_2014-02-01,2014-02-01,cluster_1,412.037,9.8,3.4,5.3,-0.6,18386.073333333334,33847.450000000004,33.0,67.0,208.0157485110373,5.556666666666668,1.086666666666667
cluster_2_2014-02-01,2014-02-01,cluster_2,618.319,8.4,3.3,5.6,-0.7,10180.86,34436.433333333334,33.6,65.2,208.6731989365752,3.09,0.77
cluster_3_2014-02-01,2014-02-01,cluster_3,894.274,11.1,-1.1,7.8,-5.0,14668.686666666666,35044.45666666667,20.0,45.7,183.6797619225792,4.276666666666667,0.73
cluster_4_2014-02-01,2014-02-01,cluster_4,1229.825,8.9,2.7,4.5,-2.0,4816.733333333334,34511.89666666667,33.2,63.7,193.65108565340765,2.3433333333333333,0.6699999999999999
cluster_1_2014-02-02,2014-02-02,cluster_1,388.994,9.4,0.4,5.6,-3.6,26868.27333333333,34034.19333333333,23.8,42.5,210.335261949223,6.283333333333334,0.9066666666666668
cluster_2_2014-02-02,2014-02-02,cluster_2,597.932,9.0,1.0,5.2,-3.2,29858.186666666665,34611.1,22.9,43.9,229.7983742994755,6.73,0.9033333333333332
cluster_3_2014-02-02,2014-02-02,cluster_3,853.421,10.3,0.9,7.5,-1.7,27137.213333333333,35206.52333333334,36.8,65.2,263.9789425506516,7.373333333333334,0.98
cluster_4_2014-02-02,2014-02-02,cluster_4,1176.241,8.9,1.3,5.7,-3.0,21338.52333333333,34684.829999999994,19.3,40.7,281.432269824292,5.793333333333333,0.7366666666666667
cluster_1_2014-02-03,2014-02-03,cluster_1,449.73,8.7,-0.6,3.6,-4.5,28846.18333333333,34223.25,28.3,52.6,141.00817540661816,7.743333333333333,0.97
cluster_2_2014-02-03,2014-02-03,cluster_2,666.807,10.6,0.1,7.8,-3.5,28761.246666666662,34787.98333333334,23.1,40.0,136.07449058474447,8.613333333333333,1.0433333333333332
cluster_3_2014-02-03,2014-02-03,cluster_3,941.421,10.7,-1.6,7.0,-5.0,26626.453333333327,35370.68333333333,21.4,38.5,121.7313307938622,7.59,0.98
cluster_4_2014-02-03,2014-02-03,cluster_4,1312.356,10.3,-1.0,6.4,-5.0,30149.52,34859.95666666667,20.1,42.1,154.78450502881014,8.556666666666667,1.0233333333333334
cluster_1_2014-02-04,2014-02-04,cluster_1,455.838,9.5,1.9,3.8,-2.7,27378.06333333333,34414.386666666665,39.4,70.9,177.3333634220596,5.859999999999999,1.2033333333333331
cluster_2_2014-02-04,2014-02-04,cluster_2,661.852,12.0,0.2,7.7,-3.1,27354.710000000003,34966.85,28.6,50.8,170.13644585492636,7.403333333333333,1.406666666666667
cluster_3_2014-02-04,2014-02-04,cluster_3,939.231,12.3,0.4,10.1,-2.9,27960.57,35536.74333333334,22.2,46.1,174.38928419463477,8.37,1.2699999999999998
cluster_4_2014-02-04,2014-02-04,cluster_4,1320.384,9.6,1.6,6.5,-1.3,25260.923333333336,35037.07666666667,28.0,51.1,183.6689084421498,6.0,1.0366666666666668
cluster_1_2014-02-05,2014-02-05,cluster_1,468.071,9.3,4.8,4.7,-1.8,12081.963333333331,34607.37666666667,41.8,78.1,190.3349942837838,4.556666666666666,1.25
cluster_2_2014-02-05,2014-02-05,cluster_2,663.921,11.4,4.2,8.1,-2.3,22307.536666666667,35147.486666666664,34.5,70.6,194.38760843315023,5.989999999999999,1.4333333333333331
cluster_3_2014-02-05,2014-02-05,cluster_3,958.969,11.2,-1.0,8.3,-4.2,12124.073333333332,35704.496666666666,30.1,83.9,194.00302369368725,4.113333333333333,0.86
cluster_4_2014-02-05,2014-02-05,cluster_4,1342.493,9.7,4.0,5.0,-1.3,9531.163333333334,35215.96,35.3,73.4,187.3571958406952,4.1066666666666665,1.2
cluster_1_2014-02-06,2014-02-06,cluster_1,457.709,12.3,4.8,8.4,-0.0,1387.55,34801.996666666666,36.4,77.4,190.66653499840572,1.8833333333333333,0.9033333333333332
cluster_2_2014-02-06,2014-02-06,cluster_2,661.798,15.1,2.4,10.3,-1.1,11753.886666666667,35329.689999999995,30.0,72.4,172.39991971870845,5.556666666666668,1.43
cluster_3_2014-02-06,2014-02-06,cluster_3,929.521,18.3,3.0,14.7,-0.4,29741.4,35873.76666666667,29.3,69.5,161.38682856429082,8.85,1.6866666666666663
cluster_4_2014-02-06,2014-02-06,cluster_4,1340.052,11.7,1.3,6.8,-1.9,17936.100000000002,35396.416666666664,33.5,68.4,184.0091811596112,5.956666666666667,1.29
